Group	Words
298	ignorantiam ignorantiae ignoranciam ignorantia
299	proprinquus propinquus
300	hereditariam hereditarium hereditaria hereditarias
301	collengaburnan colengaburnan
302	subscriptas subscriptis subscripta
303	incorruptibili incorruptibile
304	ineffabilem ineffabile
305	archiæpiscopo archiepiscopo
306	famosissima famosissimi famosissime famosissimo
307	bryningtune brynintune
308	amantissimo amantissimæ
309	conlaterana collaterana conlateranea colaterana
310	forstealle forstealles forestealle
311	emendaueris emendauerit
312	suþeweardne suþewearde suþewerdne suðeweardne
313	sunderfreols sunderfreolse
314	dorobernens dorobernensi dorobernen
315	bennanhamme bennahamme
316	relaxacione relaxatione
317	aliquantalam aliquantulam
318	paulesbyrig paulusbyrig
319	abbandunensis æbbandunensis abbandunensi abbendunensis abbandunensie
320	contremescent contremiscent
321	hagennedewe hagenedewe
322	ortodoxorum orthodoxorum
323	haereditario haereditaria haereditarie hereditario
324	uersipellis versipellis
325	interjacente interiacente
326	condempnatus condemnatus condempnatum condempnamus
327	byliesdyne byligesdyne
328	suprascripte suprascripta suprascripto suprascripti
329	occidentali occidentalis
330	dccccxxiii dcccclxxiii dccccxxiiii dccccxxxiii
331	protestatus potestatus
332	lhincgelade lincgelade
333	wigernaceastre wigornaceastre
334	archipresulis archipresuli
335	altibohando altiboando
336	misericordiae misericordie misericordiam misericordia misericordian
337	incolumitatem incolumitate
338	exhibitionem exhibitione
339	modingahammesgemæro modingahammesgemæra
340	deorlafestun deorlauestun deorlafestune
341	archipirate archipirata
342	aduersarios adversarios aduersariis
343	dunninglande dunninclande dunninglandæ
344	indeficientis indeficientia
345	territorii territoriis
346	præcipientibus precipientibus
347	bracklesham brackelesham
348	cateringatune pateringatune
349	conscesserit concesserit
350	angelcynnes angelcynne
351	chirographum cirographum
352	egritudine aegritudine
353	borstealle borcstealle
354	dcccclxxxiiii dcccclxxiiii dcccclxxxviii dcccclxxviiii dccccxxxiiii dcccclxxxiii
355	consenscientibus consencientibus
356	beddesberghe bedesberghe
357	suggincgwyrðe suggingwyrðe suggincgwyrþe
358	flemenesfirmðe flimenesfirmðe
359	peruasionem persuasionem
360	pyllesleage pillesleage
361	perfruituro perfruitur
362	præscriptum prescriptum
363	phyrargirie phylargirie
364	territoriiis territoriis
365	hundteontigan hundteontiga
366	ealdingtun ealdingtune
367	constructam constructum constructa
368	munificentiae munificentie munificentiam munificentia
369	horrendæque horrendeque
370	territoria territoriam
371	monawurðige monawurþige monawyrðige
372	paganorumque paganarumque
373	hortationibus ortationibus
374	struthgeardes strutheardes
375	æcclesiarum ecclesiarum
376	wyrmingtune wermingtune
377	fermentacionis fermentationis
378	festiuitatis festivitatis
379	reaedificationem reaedificatione
380	lacrimarum lachrimarum
381	lundoniensis londoniensis lundoniensi
382	serenitate serenitatem
383	wigorniensis wigornensis
384	cirographo chirographo
385	archimandritæ archimandrita
386	glæstingensi glastingensi
387	britannice brittannice britannicae
388	uoluntarie uoluntariae
389	principalis principali principales
390	favillantium favillancium
391	defectionis refectionis
392	beatitudinis beatitudines
393	aetheldredi etheldredi aetheldrede
394	deniceswurþe deneceswurþe denceswurþe
395	biscopstole biscopstol bisceopstole
396	episcopatui episcopatu episcopatum episcopatus
397	necessitate necessitatem
398	credelinghale credelinghales
399	principantur principatur
400	beniuolentia beniuolentie beniuolentiam beneuolentia
401	alrescagan ealrescagan
402	gillingaham tillingaham
403	admonicione admonitione
404	protomartyris protomartyri
405	precipimus praecipimus
406	introducatur introducantur
407	preuaricatione preuaricationem
408	caeterorumque ceterorumque caeterarumque coeterorumque
409	subministrauit subministraui
410	rectitudine rectitudines rectitudinem
411	clarissimam clarissima
412	desideranti desiderante
413	conscriptio conscripti
414	conseruantibus conservantibus
415	lylleburnan lytleburnan
416	kingestune kincgestune
417	firmauerunt firmaverunt
418	praescriptum prescriptum
419	freondscipe freondscype
420	hysseburnan hysseburna hisseburnan
421	redemptione redemptionem redempcione
422	reseruetur reseruentur
423	contradicere contradicerem
424	poenitenciae poenitentiae
425	constitutioni constitutione constitutionis
426	principalem principales
427	intelliguntur intelligantur
428	participacione participatione
429	bissopriches bissopriche
430	substantia substantiae substantiam
431	clamdestino clandestino
432	appellativo appellatiuo appellativa apellativo
433	adpropinquante apropinquante appropinquante adproprinquante
434	benedictione benedictiones benedictionem benediccione
435	sermocinationis sermocinationes sermotinationis sermocinacionis
436	subsequuntur subsequantur
437	expenditione expeditione
438	frequentantivis frequentativis
439	meldunensis meldunensi
440	scepertune sceapertune
441	nuncupantur nuncupatur
442	dorouernensi dorouernensis dorobernensi
443	relinquendam relinquendas relinquenda
