	0
confirmandis	confirmandas
dorkecestre	dorkecestrie
dorkecestr	dorkecestrie
conuocationes	conuocationem
conuenerit	conuenerint
distribuendi	distribuendis
subtrahuntur	subtrahantur
receptoris	preceptoris
subiectionum	subiectionem
nominauimus	nominabimus
consuetudinarios	consuetudinario
hindolueston	hildolueston
consciencie	consciencia
compleuerit	compleuerint
conseruationi	conseruatione
adquietancie	acquietancie
obseruancias	obseruanciam
confitente	confitentes
ocupauerunt	ocupauerant
adquisiuerunt	adquisierunt
ispaniarum	hispaniarum
pertinencias	pertinenciis
iuriditionem	iuridictionem
