	0
subscriptionem	subscriptione
saresberiensis	saresberiensi
saresbiriensi	saresberiensis
saresburiensi	saresberiensi
salesberiensi	saresberiensis
sarisberiensi	saresbiriensi
infangenetef	infangeneteof
infangenteof	infangenetef
infangenetheof	infangenetef
batoniensis	batoniensi
indempnitate	indempnitati
indemnitati	indempnitate
trenorciensi	trenorciensis
trenorcienses	trenorciensem
athelstanus	ethelstanus
ethelstanes	ethelstanus
dilectioni	dilectionis
necessarium	necesarium
senescalcus	senescalus
cauilationi	cauilatione
quorumcunque	quorumcumque
quarumcumque	quorumcunque
liberatione	liberationem
liberationes	liberationis
considerato	considerata
excomunicatam	excomunicatum
excommunicatum	excomunicatus
prouidentiam	prouidentia
prouidencia	prouidentia
providentia	prouidentia
prouidentie	prouidentia
inconuulsam	inconuulsum
excomunicationem	excomunicatione
necessitatibus	necesitatibus
forestarium	forestarius
forestarios	forestario
beuerlacensi	beuerlacensis
conuertendas	conuertendam
conuertenda	conuertendam
conuertendum	conuertendam
consuetudinis	consuetudines
consuetudini	consuetudines
cirencestre	cirencestrie
confirmante	confirmantes
sanctimonialis	sanctimoniales
sentencialiter	sententialiter
subdiaconis	subdiaconus
edificandam	edificandum
liberalitatem	liberalitate
principalem	principales
principale	principales
prouisionem	prouisione
permutatione	permutationem
tricentesimo	trecentesimo
trescentesimo	trecentesimo
respondeat	respondeant
respondent	respondeant
nouiomensi	nouiomensis
prescripti	prescriptis
prescriptos	prescripto
prescriptio	prescripto
persistencium	persistentium
incipientes	incipiente
humolariensi	humolariensis
munificentia	munificentiam
munificencie	munificentia
comunitati	comunitatis
heremburgis	eremburgis
peremptorio	peremptorie
infrascriptas	infrascriptis
infrascripti	infrascriptas
infrascriptos	infrascriptis
respondebat	respondebit
residentium	residentiam
residentia	residentiam
residenciam	residentiam
hospitalitate	hospitalitatem
presentatum	presentatus
presentamus	presentatus
presentatos	presentatus
presentatis	presentatio
munificenciam	munificentia
uniuersitate	uniuersitatem
pontiniacensis	pontiniacensi
specialibus	specialius
celebrentur	celebretur
comutatione	comutationem
comutationes	comutationis
computationem	comutatione
responderunt	respondebunt
impedientes	impedientem
inpedientem	impedientes
impediente	impedientem
restitueret	restituere
satisfecerint	satisfecerit
intentionis	inuentionis
asignauerat	asignauerit
asignauerint	asignauerunt
altercatione	alternatione
altercationis	altercationes
competentius	competentibus
diligentiam	diligentia
decimationes	decimatione
decimationem	decimatione
christianitatis	cristianitatis
concesserat	conceserat
arcidiaconatu	arcidiaconatus
arcidiaconatum	arcidiaconatus
arcidiaconatui	arcidiaconatus
faucunberg	faucunberge
fauconberge	fauconberg
faucumberge	faucumberg
constrictum	constructum
disponentes	disponente
episcopales	episcopalem
episcopale	episcopalem
suficientia	suficienti
quietumclamaui	quietumclamauit
primogenito	primogeniti
primogenita	primogenitum
sanctitati	sanctitatis
subdiaconum	subdiaconus
augmentatione	augmentationem
conuenerant	conuenerat
conuenerint	conuenerunt
primogenitum	primogenitus
campipartem	campiparte
castelaniam	castelania
elemosinarium	elemosinaria
eleemosinarum	elemosinarum
confesionem	concesionem
confesione	concesionem
confesiones	concesionem
cancelariam	cancelaria
leircestrie	leicestrie
circumgyrata	circumgirata
renuntiauit	renunciauit
renunciaui	renunciauit
compromisio	compromiso
compromisit	compromisi
carnotense	carnotensem
asumptione	asumptionem
perceperint	perceperunt
perceperant	perceperunt
contingebant	contingebat
continebat	contingebat
excomunicari	excomunicati
excomunicatio	excomunicati
discretionis	discretioni
discretione	discretionem
molismensis	molismensi
relaxationem	relaxatione
relaxationes	relaxationis
districtus	districtius
districtis	districtius
incolumitatem	incolumitate
elemosinarie	elemosinario
elemosinarii	elemosinario
elemosinaria	elemosinario
eleemosinario	elemosinario
diuionenses	diuionensis
diuionensi	diuionensis
ascensione	ascensionem
inquietudinem	inquietudine
constituerit	constituerat
apelationis	apelationi
recipiendas	recipiendos
recipiendis	recipiendi
recipiendo	precipiendo
presentando	presentandus
presentandis	presentandus
presentanda	presentandi
submiserint	submiserunt
stipulatione	astipulatione
congregationi	congregationis
congregationem	congregatione
inmobilibus	imobilibus
propinquiori	propinquior
procurarunt	procurabunt
reclamabant	reclamabat
perturbationem	perturbatione
precipiente	precipientes
recipientes	precipientes
pertineant	pertinebant
pactionibus	actionibus
cohertionis	cohertioni
recognoscat	recognoscit
recognosci	recognoscit
perfruantur	perfruatur
executione	executionem
contestatam	contestata
refectione	refectionem
refectiones	refectionis
pictauiensis	pictauensis
pictauensi	pictauiensis
recipiatis	precipiatis
forifactum	forisfactum
carpentarium	carpentarius
aniuersariis	aniuersarii
quietuclamase	quietumclamase
mauziacensi	mauziacensis
perceptionem	perceptione
participationem	participatione
resipuerint	resipuerit
obseruandum	obseruandam
condempnatus	condempnamus
condemnamus	condempnamus
profesione	profesionem
procesionem	profesionem
profesiones	profesionis
tranquilitate	tranquilitatem
tranquilitatis	tranquilitati
acquietaret	acquietare
carraxantur	caraxantur
submonitionem	sumonitionem
sumonitione	submonitionem
sumonitiones	sumonitionem
persoluatur	persoluantur
persoluentur	persoluatur
persoluendo	persoluenda
persoluendam	persoluendum
persoluende	persoluenda
uisitationem	uisitatione
insolentiam	insolenciam
apostolicum	apostolicam
apostolicus	apostolicam
apostolicos	apostolico
multitudinem	multitudine
multitudini	multitudine
constituto	constitutos
restitutioni	restitutionis
moisiacensi	moisiacensis
percipiebant	percipiebat
percipiebam	percipiebat
solemnitate	solempnitate
solempnitatem	solempnitate
solempnitates	solempnitate
inquietationem	inquietatione
transmisimus	transmitimus
obseruaturam	obseruaturum
calumpniabantur	calumpniabatur
calumniabatur	calumpniabatur
celebrandam	celebranda
ambianensi	ambianensis
sanctiioanis	sanctiiohanis
eleemosina	eleemosinam
walsingeham	walsingham
ireuerenter	reuerenter
dispensator	dispensatore
dispensatores	dispensatoris
consueuerat	consueuerant
consueuerit	consueuerant
incrementis	incrementi
transactioni	transactionis
serenitatis	serenitati
nominationem	dominatione
cantwariorum	cantuariorum
dedicationi	dedicatione
premonstracensis	premonstratensis
premonstratensi	premonstratensis
tesaurariam	tesauraria
fundationem	fundatione
maledictione	maledictionem
maledictiones	maledictionis
ebroicensi	ebroicensis
comunitate	comunitatem
continebantur	continentur
meliorationem	melioratione
aualonensi	aualonensis
famulancium	famulantium
congregatis	congregatio
congregati	congregatio
congregato	congregatio
congregacio	congregatio
recedentibus	precedentibus
inueniantur	inueniatur
gratificamus	ratificamus
contumelia	contumeliam
defendendam	defendendum
dedicationem	dedicatione
hermengardis	ermengardis
emengardis	ermengardis
absolutionem	absolutione
prenominatarum	prenominatorum
egritudinem	egritudine
permanerent	permaneret
compacientes	compatientes
carpentarii	carpentario
suspentionis	suspensionis
transgresiones	transgresione
transgresionem	transgresione
parociatibus	parocialibus
pontiniacenses	pontiniacensis
pontiniacensem	pontiniacensis
brittannice	britannice
conseruentur	conseruetur
aquilonare	aquilonarem
aquilonalem	aquilonale
auctenticum	autenticum
pertinentiarum	pertinenciarum
pronuntiamus	pronunciamus
constantinus	constantius
constantiis	constantius
constantium	constantinus
aliquantulam	aliquantulum
imperatori	imperatoris
dispositioni	dispositione
dispositionis	dispositione
succedentibus	sucedentibus
sanctissimi	sanctisimi
sanctisimis	sanctisimi
paupertate	paupertatem
sacramentis	sacramenti
auctenticis	autenticis
prestiterint	prestiterit
ingredientur	ingrediantur
ingrediatur	ingrediantur
bituricensi	bituricensis
arcebisceop	arcebiscop
archebiscop	arcebiscop
arcebiscope	arcebiscop
constitutione	constitutionem
constitutiones	constitutionis
conuersatione	conuersationem
reuerendisimo	reuerentisimo
reuerentisimi	reuerentisimo
andegauenses	andegauensis
andegauensi	andegauensis
probationem	probatione
probationes	probationis
aprobatione	probationem
bilsingtone	bilsintone
altisiodorum	autisiodorum
contulerit	contulerint
defensioni	defensionis
presidentibus	residentibus
querimonia	querimoniam
querimonias	querimoniis
perseuerauerint	perseuerauerit
archiepiscoporum	arciepiscoporum
constituiset	constituise
presenciarum	presentiarum
exprimendas	exprimenda
semplingham	sempingham
sempringham	sempingham
decimationis	decimationes
transactione	transactionem
persoluimus	persoluemus
concedendam	concedendum
concedenda	concedendas
concedendis	concedentes
satisfaciant	satisfaciat
satisfaciet	satisfaciant
inuiolabilem	inuiolabile
inuiolabili	inuiolabilis
terminanda	terminandam
terminandum	terminandam
impeditione	impetitione
curtilagiis	curtilagii
intrauerit	intrauerint
intrauerunt	intrauerint
renuntiando	renunciando
uendemiarum	uindemiarum
flauigniacensi	flauigniacensis
flauiniacensis	flauigniacensis
monasteriolum	monasteriorum
precedentes	procedentes
sollicitudo	solicitudo
